communicate,label,precisions,recalls,f1_scores
related,0,0.55,0.52,0.53
related,1,0.86,0.87,0.86
request,0,0.93,0.88,0.91
request,1,0.54,0.68,0.6
offer,0,1.0,0.99,0.99
offer,1,0.01,0.04,0.02
aid_related,0,0.78,0.72,0.75
aid_related,1,0.64,0.71,0.67
medical_help,0,0.96,0.92,0.94
medical_help,1,0.36,0.51,0.42
medical_products,0,0.97,0.94,0.96
medical_products,1,0.29,0.44,0.35
search_and_rescue,0,0.98,0.98,0.98
search_and_rescue,1,0.26,0.25,0.25
security,0,0.99,0.96,0.97
security,1,0.07,0.18,0.1
military,0,0.98,0.96,0.97
military,1,0.32,0.53,0.4
water,0,0.98,0.97,0.97
water,1,0.63,0.71,0.67
food,0,0.97,0.96,0.97
food,1,0.72,0.78,0.75
shelter,0,0.97,0.96,0.96
shelter,1,0.6,0.65,0.62
clothing,0,0.99,0.99,0.99
clothing,1,0.39,0.61,0.48
money,0,0.99,0.97,0.98
money,1,0.27,0.5,0.35
missing_people,0,0.99,0.98,0.98
missing_people,1,0.13,0.25,0.17
refugees,0,0.98,0.98,0.98
refugees,1,0.34,0.31,0.33
death,0,0.98,0.96,0.97
death,1,0.45,0.64,0.52
other_aid,0,0.9,0.84,0.87
other_aid,1,0.26,0.38,0.31
infrastructure_related,0,0.95,0.92,0.94
infrastructure_related,1,0.19,0.26,0.22
transport,0,0.96,0.96,0.96
transport,1,0.27,0.3,0.28
buildings,0,0.98,0.96,0.97
buildings,1,0.42,0.54,0.47
electricity,0,0.99,0.98,0.98
electricity,1,0.31,0.41,0.35
tools,0,0.99,0.99,0.99
tools,1,0.04,0.08,0.05
hospitals,0,0.99,0.98,0.99
hospitals,1,0.11,0.24,0.15
shops,0,1.0,0.99,0.99
shops,1,0.0,0.0,0.0
aid_centers,0,0.99,0.98,0.99
aid_centers,1,0.14,0.22,0.17
other_infrastructure,0,0.97,0.93,0.95
other_infrastructure,1,0.16,0.32,0.21
weather_related,0,0.91,0.88,0.89
weather_related,1,0.7,0.77,0.73
floods,0,0.97,0.97,0.97
floods,1,0.64,0.6,0.62
storm,0,0.97,0.95,0.96
storm,1,0.61,0.74,0.67
fire,0,1.0,0.99,0.99
fire,1,0.28,0.53,0.37
earthquake,0,0.98,0.99,0.99
earthquake,1,0.88,0.82,0.85
cold,0,0.99,0.99,0.99
cold,1,0.38,0.44,0.41
other_weather,0,0.97,0.92,0.95
other_weather,1,0.21,0.41,0.28
direct_report,0,0.89,0.88,0.89
direct_report,1,0.52,0.56,0.54
