communicate,label,precisions,recalls,f1_scores
related,0,0.53,0.53,0.53
related,1,0.86,0.86,0.86
request,0,0.91,0.92,0.91
request,1,0.57,0.54,0.55
offer,0,1.0,1.0,1.0
offer,1,0.0,0.0,0.0
aid_related,0,0.73,0.7,0.72
aid_related,1,0.6,0.63,0.61
medical_help,0,0.93,0.97,0.95
medical_help,1,0.32,0.17,0.22
medical_products,0,0.96,0.99,0.97
medical_products,1,0.5,0.24,0.32
search_and_rescue,0,0.98,0.99,0.99
search_and_rescue,1,0.37,0.12,0.18
security,0,0.98,1.0,0.99
security,1,0.16,0.03,0.06
military,0,0.97,0.99,0.98
military,1,0.52,0.19,0.28
water,0,0.97,0.99,0.98
water,1,0.78,0.58,0.66
food,0,0.96,0.98,0.97
food,1,0.79,0.65,0.71
shelter,0,0.95,0.97,0.96
shelter,1,0.66,0.5,0.57
clothing,0,0.99,1.0,0.99
clothing,1,0.71,0.45,0.56
money,0,0.98,1.0,0.99
money,1,0.47,0.17,0.25
missing_people,0,0.99,1.0,0.99
missing_people,1,0.65,0.2,0.31
refugees,0,0.97,0.99,0.98
refugees,1,0.43,0.14,0.21
death,0,0.97,0.99,0.98
death,1,0.65,0.36,0.46
other_aid,0,0.88,0.91,0.9
other_aid,1,0.26,0.21,0.23
infrastructure_related,0,0.94,0.97,0.96
infrastructure_related,1,0.1,0.04,0.06
transport,0,0.96,0.99,0.97
transport,1,0.42,0.13,0.2
buildings,0,0.96,0.98,0.97
buildings,1,0.49,0.3,0.37
electricity,0,0.98,1.0,0.99
electricity,1,0.55,0.19,0.28
tools,0,0.99,1.0,1.0
tools,1,0.0,0.0,0.0
hospitals,0,0.99,1.0,0.99
hospitals,1,0.0,0.0,0.0
shops,0,1.0,1.0,1.0
shops,1,0.0,0.0,0.0
aid_centers,0,0.99,1.0,0.99
aid_centers,1,0.0,0.0,0.0
other_infrastructure,0,0.96,0.99,0.97
other_infrastructure,1,0.19,0.05,0.09
weather_related,0,0.88,0.87,0.87
weather_related,1,0.66,0.66,0.66
floods,0,0.96,0.98,0.97
floods,1,0.68,0.47,0.55
storm,0,0.96,0.97,0.97
storm,1,0.7,0.57,0.63
fire,0,0.99,1.0,1.0
fire,1,0.86,0.27,0.41
earthquake,0,0.97,0.99,0.98
earthquake,1,0.85,0.74,0.79
cold,0,0.99,1.0,0.99
cold,1,0.56,0.3,0.39
other_weather,0,0.96,0.98,0.97
other_weather,1,0.25,0.1,0.14
direct_report,0,0.87,0.87,0.87
direct_report,1,0.46,0.48,0.47
